compound;comp_lemma;const_1_text;const_2_text;const_3_text;const_1_lemma;const_2_lemma;const_3_lemma;gold_branching;language;register
Blutgefäßversorgung;_;Blut;gefäß;versorgung;Blut;Gefäß;Versorgung;AB;GER;scientific
Faserknorpelzone;_;Faser;knorpel;zone;Faser;Knorpel;Zone;AB;GER;scientific
Kniegelenkpräparate;_;Knie;gelenk;präparate;Knie;Gelenk;Präparate;AB;GER;scientific
Bindegewebstransplantate;_;Binde;gewebs;transplantate;Binde;Gewebe;Transplantat;AB;GER;scientific
Kreuzbandersatz;_;Kreuz;band;ersatz;Kreuz;Band;Ersatz;AB;GER;scientific
Quadrizepssehnentransplantate;_;Quadrizeps;Sehnen;transplantate;Quadrizeps;Sehne;Transplantat;AB;GER;scientific
Bizepssehnenstreifen;_;Bizeps;sehnen;streifen;Bizeps;Sehne;Streifen;AB;GER;scientific
Bindegewebstransplantat;_;Binde;gewebs;transplantat;Binde;Gewebe;Transplantat;AB;GER;scientific
Patellarsehnenersatzplastik;_;Patellarsehnen;Ersatz;Plastik;Patellarsehnen;Ersatz;Plastik;BC;GER;scientific
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific
Kreuzbandersatzoperation;_;Kreuzband;ersatz;operation;Kreuzband;Ersatz;Operation;BC;GER;scientific
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Muskelaufbautraining;_;Muskel;aufbau;training;Muskel;Aufbau;Training;AB;GER;scientific
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific
Kniegelenkarthroskopien;_;Knie;gelenk;arthroskopien;Knie;Gelenk;Arthroskopie;AB;GER;scientific
Kniegelenkergüsse;_;Knie;gelenk;ergüsse;Knie;Gelenk;Erguss;AB;GER;scientific
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific
Gesamtkomplikationsrate;_;Gesamt;komplikations;rate;Gesamt;Komplikation;Rate;AB;GER;scientific
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific
Kniegelenkverletzungen;_;Knie;gelenk;verletzungen;Knie;Gelenk;Verletzung;AB;GER;scientific
Kniegelenkuntersuchung;_;Knie;gelenk;untersuchung;Knie;Gelenk;Untersuchung;AB;GER;scientific
Herdanbohrungsoperationen;_;Herd;anbohrungs;operationen;Herd;Anbohrung;Operation;AB;GER;scientific
Nachuntersuchungszeitraum;_;Nachuntersuchungs;Zeit;Raum;Nachuntersuchung;Zeit;Raum;AB;GER;scientific
Femurepiphysenfugen;_;Femur;epiphysen;fugen;Femur;Epiphyse;Fuge;AB;GER;scientific
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;AB;GER;scientific
Nachuntersuchungszeitpunkt;_;Nachuntersuchungs;zeit;punkt;Nachuntersuchung;Zeit;Punkt;AB;GER;scientific
Herdanbohrungsoperation;_;Herd;anbohrungs;operation;Herd;Anbohrungs;Operation;AB;GER;scientific
Wachstumsfugenschluß;_;Wachstums;fugen;schluß;Wachstum;Fuge;Schluss;AB;GER;scientific
Sprunggelenkbeweglichkeit;_;Sprung;gelenk;beweglichkeit;Sprung;Gelenk;Beweglichkeit;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific
Impressionsspaltfrakturen;_;Impressions;spalt;frakturen;Impression;Spalt;Fraktur;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific
Tibiakopfosteosynthese;_;Tibia;kopf;osteosynthese;Tibia;Kopf;Osteosynthese;AB;GER;scientific
Meniskusteilresektion;_;Meniskus;teil;resektion;Meniskus;Teil;Resektion;AB;GER;scientific
Meniskusteilresektion;_;Meniskus;teil;resektion;Meniskus;Teil;Resektion;AB;GER;scientific
Kreuzbandrupturen;_;Kreuz;band;rupturen;Kreuz;Band;Ruptur;AB;GER;scientific
Tibiakopfosteosynthese;_;Tibia;kopf;osteosynthese;Tibia;Kopf;Osteosynthese;AB;GER;scientific
Handgelenkarthroskopie;_;Hand;gelenk;arthroskopie;Hand;Gelenk;Arthroskopie;AB;GER;scientific
Sesambeinpathologie;_;Sesam;bein;pathologie;Sesam;Bein;Pathologie;AB;GER;scientific
Sesambeinpathologie;_;Sesam;bein;pathologie;Sesam;Bein;Pathologie;AB;GER;scientific
Sprunggelenkdistorsion;_;Sprung;gelenk;distorsion;Sprung;Gelenk;Distorsion;AB;GER;scientific
Seitenbandverletzung;_;Seiten;band;verletzung;Seite;Band;Verletzung;AB;GER;scientific
Muskelkraftmessung;_;Muskel;kraft;messung;Muskel;Kraft;Messung;AB;GER;scientific
Seitenbandrupturen;_;Seiten;band;rupturen;Seite;Band;Rupturen;AB;GER;scientific
Quadrizepskraftmessung;_;Quadrizeps;kraft;messung;Quadrizeps;Kraft;Messung;AB;GER;scientific
Kreuzbandruptur;_;Kreuz;band;ruptur;Kreuz;Band;Ruptur;AB;GER;scientific
Oberschenkelgipsverband;_;Oberschenkel;gips;verband;Oberschenkel;Gips;Verband;AB;GER;scientific
Kniegelenkersatz;_;Knie;gelenk;ersatz;Knie;Gelenk;Ersatz;AB;GER;scientific
Kniegelenkarthroskopie;_;Knie;gelenk;arthroskopie;Knie;Gelenk;Arthroskopie;AB;GER;scientific
Muskelkräftigungsprogramm;_;Muskel;kräftigungs;programm;Muskel;Kräftigung;Programm;AB;GER;scientific
Gelenkknorpeldefekten;_;Gelenk;knorpel;defekten;Gelenk;Knorpel;Defekt;AB;GER;scientific
Knorpelzelltransplantaten;_;Knorpel;zell;transplantaten;Knorpel;Zell;Transplantat;AB;GER;scientific
Knorpelzelltransplantate;_;Knorpel;zell;transplantate;Knorpel;Zell;Transplantate;AB;GER;scientific
Knorpelzelltransplantate;_;Knorpel;zell;transplantate;Knorpel;Zell;Transplantat;AB;GER;scientific
Wirbelsäulenschmerzen;_;Wirbel;säulen;schmerzen;Wirbel;Säule;Schmerz;AB;GER;scientific
Lendenwirbelsäule;_;Lenden;wirbel;säule;Lende;Wirbel;Säule;AB;GER;scientific
Wirbelsäulenoperateure;_;Wirbel;säulen;operateure;Wirbel;Säule;Operateur;AB;GER;scientific
Wirbelsäulenchirurgen;_;Wirbel;säulen;chirurgen;Wirbel;Säule;Chirurg;AB;GER;scientific
Wirbelsäuleninstrumentation;_;Wirbel;säulen;instrumentation;Wirbel;Säule;Instrumentation;AB;GER;scientific
Bindegewebsneubildung;_;Binde;gewebs;neubildung;Binde;Gewebe;Neubildung;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Frakturen;AB;GER;scientific
Kniegelenkempyemen;_;Knie;gelenk;empyemen;Knie;Gelenk;Empyem;AB;GER;scientific
Kniegelenkempyeme;_;Knie;gelenk;empyeme;Knie;Gelenk;Empyem;AB;GER;scientific
Pfannenrandbereich;_;Pfannen;rand;bereich;Pfanne;Rand;Bereich;AB;GER;scientific
Schulterstabilisierungsoperationen;_;Schulter;stabilisierungs;operationen;Schulter;Stabilisierung;Operation;AB;GER;scientific
Labrumsubstanzschäden;_;Labrum;substanz;schäden;Labrum;Substanz;Schaden;AB;GER;scientific
Labrumsubstanzschäden;_;Labrum;substanz;schäden;Labrum;Substanz;Schaden;AB;GER;scientific
Rotatorenmanschetten;_;Rotatoren;manschetten;-;Rotator;Manschette;-;AB;GER;scientific
Rotatorenmanschettendefekt;_;Rotatoren;manschetten;defekt;Rotatoren;Manschette;Defekt;AB;GER;scientific
Risikosportarten;_;Risiko;sport;arten;Risiko;Sport;Art;AB;GER;scientific
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific
Beobachtungszeitraum;_;Beobachtungs;zeit;raum;Beobachtung;Zeit;Raum;AB;GER;scientific
Kunstbandgruppe;_;Kunst;band;gruppe;Kunst;Band;Gruppe;AB;GER;scientific
Gesamtpunktzahl;_;Gesamt;punkt;zahl;Gesamt;Punkt;Zahl;AB;GER;scientific
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;AB;GER;scientific
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific
Kreuzbandrekonstruktionen;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Kniegelenkchirurgie;_;Knie;gelenk;chirurgie;Knie;Gelenk;Chirurgie;AB;GER;scientific
Periostlappenplastik;_;Periost;lappen;plastik;Periost;Lappen;Plastik;AB;GER;scientific
Kreuzbandruptur;_;Kreuz;band;ruptur;Kreuz;Band;Ruptur;AB;GER;scientific
Transplantatentnahmemorbidität;_;Transplantat;entnahme;morbidität;Transplantat;Entnahme;Morbidität;AB;GER;scientific
Scheibenwischereffekt;_;Scheiben;wischer;effekt;Scheibe;Wischer;Effekt;AB;GER;scientific
Wirtschaftsstaatssekretär;_;Wirtschafts;staat;sekretär;Wirtschaft;Staat;Sekretär;BC;GER;general
Datenbankproblem;_;Daten;bank;problem;Datum;Bank;Problem;AB;GER;general
Kerngeschäftsfeldern;_;Kern;geschäfts;feldern;Kern;Geschäft;Feld;AB;GER;general
Dienstleistungsgewerkschaft;_;Dienst;leistungs;gewerkschaft;Dienst;Leistung;Gewerkschaft;AB;GER;general
Arbeitnehmervertreter;_;Arbeit;nehmer;vertreter;Arbeit;Nehmer;Vertreter;AB;GER;general
Kapitalanlagegesellschaften;_;Kapital;anlage;gesellschaften;Kapital;Anlage;Gesellschaft;AB;GER;general
Strukturanpassungsprogramme;_;Struktur;anpassungs;programme;Struktur;Anpassung;Programm;AB;GER;general
Weltökonomie-Institutionen;_;Welt;ökonomie;Institutionen;Welt;Ökonomie;Institution;AB;GER;general
Bundesligavereine;_;Bundes;liga;vereine;Bund;Liga;Verein;AB;GER;general
Kostenrechnungssystem;_;Kosten;rechnungs;system;Kosten;Rechnung;System;AB;GER;general
Freizeitwinterangebot;_;Freizeit;winter;angebot;Freizeit;Winter;Angebot;BC;GER;general
Eissporthallen;_;Eis;sport;hallen;Eis;Sport;Halle;AB;GER;general
Eissporthalle;_;Eis;sport;halle;Eis;Sport;Halle;AB;GER;general
Kauf-Erlebniswelten;_;Kauf;Erlebnis;welten;Kauf;Erlebnis;Welt;AB;GER;general
Hobby-Videokamera;_;Hobby;Video;kamera;Hobby;Video;Kamera;BC;GER;general
Tarif-Kriegsschauplatz;_;Tarif;Kriegs;schauplatz;Tarif;Krieg;Schauplatz;AB;GER;general
Wochenlohn-Patienten;_;Wochen;lohn;Patienten;Woche;Lohn;Patient;AB;GER;general
Ehrenschutzbestimmungen;_;Ehren;schutz;bestimmung;Ehre;Schutz;Bestimmung;AB;GER;general
Lastwagenfabrik;_;Last;wagen;fabrik;Last;Wagen;Fabrik;AB;GER;general
Umweltbundesamts;_;Umwelt;bundes;amts;Umwelt;Bund;Amt;BC;GER;general
Weltmarktanteil;_;Welt;markt;anteil;Welt;Markt;Anteil;AB;GER;general
Atomtestgegnern;_;Atom;test;gegnern;Atom;Test;Gegner;AB;GER;general
Atomtestfrage;_;Atom;test;frage;Atom;Test;Frage;AB;GER;general
Atombombenversuche;_;Atom;bomben;versuche;Atom;Bombe;Versuch;AB;GER;general
Massenvernichtungswaffen;_;Massen;vernichtungs;waffen;Masse;Vernichtung;Waffe;AB;GER;general
Staatsschutzkommissariates;_;Staats;schutz;kommissariates;Staat;Schutz;Kommissariat;AB;GER;general
Reisegewerbekarte;_;Reise;gewerbe;karte;Reise;Gewerbe;Karte;AB;GER;general
Fußballclubbesitzer;_;Fußball;club;besitzer;Fußball;Club;Besitzer;AB;GER;general
Positronenemissionstomographie;_;Positronen;emissions;tomographie;Positron;Emission;Tomographie;AB;GER;scientific
Testwiederholungseffekten;_;Test;wiederholungs;effekten;Test;Wiederholung;Effekte;AB;GER;scientific
Hirnsubstanzminderung;_;Hirn;substanz;minderung;Hirn;Substanz;Minderung;AB;GER;scientific
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific
Beinlängendifferenzen;_;Bein;längen;differenzen;Bein;Länge;Differenz;AB;GER;scientific
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific
Beinlängendifferenzen;_;Bein;längen;differenzen;Bein;Länge;Differenz;AB;GER;scientific
Nachbeobachtungszeitraum;_;Nachbeobachtungs;zeit;raum;Nachbeobachtung;Zeit;Raum;AB;GER;general
Kreuzbandchirurgie;_;Kreuz;band;chirurgie;Kreuz;Band;Chirurgie;AB;GER;scientific
Transplantataustrittsstelle;_;Transplantat;austritts;stelle;Transplantat;Austritt;Stelle;BC;GER;scientific
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Kniegelenkbeschwerden;_;Knie;gelenk;beschwerden;Knie;Gelenk;Beschwerde;AB;GER;scientific
Korbhenkelläsion;_;Korb;henkel;läsion;Korb;Henkel;Läsion;AB;GER;scientific
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;BC;GER;scientific
Zugfestigkeitsuntersuchungen;_;Zug;festigkeits;untersuchungen;Zug;Festigkeit;Untersuchung;AB;GER;scientific
Zugfestigkeitsuntersuchungen;_;Zug;festigkeits;untersuchungen;Zug;Festigkeit;Untersuchung;AB;GER;scientific
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific
Fragebogenuntersuchung;_;Frage;bogen;untersuchung;Frage;Bogen;Untersuchung;AB;GER;scientific
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific
Giftgasdose;_;Gift;gas;dose;Gift;Gas;Dose;AB;GER;general
Bundesgeschäftsführer;_;Bundes;geschäfts;führer;Bund;Geschäft;Führer;BC;GER;general
Umweltschutzpreis;_;Umwelt;schutz;preis;Umwelt;schutz;preis;AB;GER;general
Erdgasautos;_;Erd;gas;autos;Erde;Gas;Auto;AB;GER;general
Kanzleramtschef;_;Kanzler;amts;chef;Kanzler;Amt;Chef;AB;GER;general
Bundesjugendministerin;_;Bundes;jugend;ministerin;Bund;Jugend;Ministerin;BC;GER;general
Bundesgesundheitsminister;_;Bundes;gesundheits;minister;Bund;Gesundheit;Minister;BC;GER;general
Notfallpatienten;_;Not;fall;patienten;Not;Fall;Patient;AB;GER;general
Weltökonomie-Institutionen;_;Welt;ökonomie;Institutionen;Welt;Ökonomie;Institution;AB;GER;general
Zonenrandförderung;_;Zonen;rand;förderung;Zone;Rand;Förderung;AB;GER;general
Kirchturmspitze;_;Kirch;turm;spitze;Kirche;Turm;Spitze;AB;GER;general
Schiffahrtsmagnaten;_;Schiff;fahrts;magnaten;Schiff;Fahrt;Magnat;AB;GER;general
Stadtautobahn;_;Stadt;auto;bahn;Stadt;Auto;Bahn;BC;GER;general
Kriegsverbrechertribunals;_;Kriegs;verbrecher;tribunals;Krieg;Verbrecher;Tribunal;AB;GER;general
Atomkraftwerken;_;Atom;kraft;werken;Atom;Kraft;Werk;BC;GER;general
Kohlekraftwerks;_;Kohle;kraft;werks;Kohle;Kraft;Werk;BC;GER;general
Campingplatzparzellen;_;Camping;platz;parzellen;Camping;Platz;Parzelle;AB;GER;general
Wohngeldstrukturnovelle;_;Wohngeld;struktur;novelle;Wohngeld;Struktur;Novelle;BC;GER;general
Surrogatmarkerbestimmung;_;Surrogat;marker;bestimmung;Surrogat;Marker;Bestimmung;AB;GER;scientific
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific
Hirnnervenbereich;_;Hirn;nerven;Bereich;Hirn;Nerv;Bereich;AB;GER;scientific
Hirnrindenentwicklung;_;Hirn;rinden;entwicklung;Hirn;Rinde;Entwicklung;AB;GER;scientific
Knochenmarktransplantation;_;Knochen;mark;transplantation;Knochen;Mark;Transplantation;AB;GER;scientific
Wortfindungsstörungen;_;Wort;findungs;störungen;Wort;Findung;Störung;AB;GER;scientific
Hirnparenchymläsionen;_;Hirn;parenchym;läsionen;Hirn;Parenchym;Läsion;AB;GER;scientific
Handschriftfläche;_;Hand;schrift;fläche;Hand;Schrift;Fläche;AB;GER;scientific
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific
Notfallsituationen;_;Not;fall;situationen;Not;Fall;Situation;AB;GER;scientific
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific
Positronenemissionstomographie;_;Positronen;emissions;tomographie;Positron;Emission;Tomographie;AB;GER;scientific
